company_name,URL1,URL2,URL3
PSA International,https://www.globalpsa.com/,http://www.globalpsa.com/,https://en.wikipedia.org/wiki/PSA_International
PSBTA (Public Safety Broadband Technology Association),https://thepsbta.org/,https://thepsbta.org/membership/,https://www.linkedin.com/company/firstnetassociation
PSCA (Punjab Safe Cities Authority),https://psca.gop.pk/,https://psca.gop.pk/news-and-events/page/56/,https://en.wikipedia.org/wiki/Punjab_Safe_Cities_Authority
PSCE (Public Safety Communication Europe),https://www.psc-europe.eu/,https://be.linkedin.com/company/psc-europe,https://twitter.com/psc_e?lang=en
PSE (Polish Power Grid Company),https://www.pse.pl/web/pse-eng,https://www.pse.pl/web/pse-eng/areas-of-activity/polish-power-system/system-in-general,https://www.pse.pl/web/pse-eng/data
pSemi Corporation,https://www.psemi.com/,http://www.psemi.com/,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRFSSgZVKGs6NbvYEqjM4gvqX1aK3nVCrHmkIvXwduMUGGNyzkg
PSNI (Police Service of Northern Ireland),https://www.psni.police.uk/,https://en.wikipedia.org/wiki/Police_Service_of_Northern_Ireland,https://en.wikipedia.org/wiki/George_Hamilton_(Northern_Ireland_police_officer)
PSU (Prince of Songkla University),https://en.psu.ac.th/,https://en.wikipedia.org/wiki/Prince_of_Songkla_University,https://www.topuniversities.com/universities/prince-songkla-university
PT Freeport Indonesia,https://ptfi.co.id/,https://id.wikipedia.org/wiki/Freeport_Indonesia,https://id.wikipedia.org/wiki/Freeport_Indonesia#Divestasi_Saham_ke_Pemerintah_Indonesia
PT INTI (PT Industri Telekomunikasi Indonesia),https://www.inti.co.id/,https://id.wikipedia.org/wiki/Industri_Telekomunikasi_Indonesia,http://www.inti.co.id/
