company_name,URL1,URL2,URL3
KAMAZ,https://en.wikipedia.org/wiki/Kamaz,https://en.wikipedia.org/wiki/List_of_Kamaz_vehicles,https://en.wikipedia.org/wiki/Kamaz_Typhoon
Kansai Electric Power Company,https://www.kepco.co.jp/english/,https://en.wikipedia.org/wiki/File:Kansai_Electric_Power_Company_logo.svg,https://en.wikipedia.org/wiki/Kansai_Electric_Power_Company
Kantonspolizei St.Gallen (Cantonal Police of St. Gallen),https://www.sg.ch/sicherheit/kantonspolizei.html,https://www.sg.ch/sicherheit/kantonspolizei/medien.html,https://www.sg.ch/sicherheit/kantonspolizei/verkehr.html
Kantonspolizei Zürich (Cantonal Police of Zurich),https://www.zh.ch/de/sicherheitsdirektion/kantonspolizei-zuerich.html,https://de.wikipedia.org/wiki/Kantonspolizei_Z%C3%BCrich,https://en.wikipedia.org/wiki/Kantonspolizei_Z%C3%BCrich
Kaohsiung City Government,https://www.kcg.gov.tw/EN/,https://sam1.kcg.gov.tw/en/News_Link.aspx?n=3AF502ABC3522F06&sms=D1C20AE72FE7F80B,https://en.wikipedia.org/wiki/Kaohsiung_City_Government
Karara Mining,https://www.kararamining.com.au/,https://en.wikipedia.org/wiki/Karara_mine,https://au.linkedin.com/company/karara-mining-ltd
KATCH Network,https://www.katch.co.jp/,https://www.crunchbase.com/organization/katch-network,https://www.bloomberg.com/profile/company/KTCHNZ:JP
Katela Networks,https://www.katela-networks.com/,https://www.linkedin.com/company/katela-networks,https://www.facebook.com/katela.networks/
Kawasaki Heavy Industries,https://global.kawasaki.com/,http://global.kawasaki.com/,https://en.wikipedia.org/wiki/Kawasaki_Heavy_Industries
Kazan Metro,https://en.wikipedia.org/wiki/Kazan_Metro,https://en.wikipedia.org/wiki/Kazan_Metro#History,https://en.wikipedia.org/wiki/Kazan_Metro#Operation
