company_name,URL1,URL2,URL3
Leuven Police,https://leuven.be/contact/politie,https://www.police.be/5998/fr/contact/services/federale-gerechtelijke-politie-leuven,https://www.politie.be/5388/
Lextrum,https://www.comsovereign.com/lextrum,https://www.crunchbase.com/organization/lextrum,https://www.prnewswire.com/news-releases/lextrums-full-duplex-technology-demonstrates-ability-to-mitigate-an-aggregate-of-120-db-of-self-interference-doubling-the-throughput-of-time-division-duplexing-systems-301166110.html
LF (Linux Foundation),http://www.linuxfoundation.org/,https://en.wikipedia.org/wiki/Linux_Foundation,https://www.linuxfoundation.org/
"LfULG (Saxony State Office for Environment, Agriculture and Geology)",https://www.umwelt.sachsen.de/umwelt/klaps/state_agency_environment_agriculture_geology.htm,https://www.fisaonline.de/en/find-institutions/details/?tx_fisaresearch_institutions%5Baction%5D=institutionDetails&tx_fisaresearch_institutions%5Bcontroller%5D=Institutions&tx_fisaresearch_institutions%5Bi_id%5D=884&cHash=37a05996dc76d5a386a125890bbb3870,http://www.interklim.eu/partners/lfulg/
LG Chem,http://www.lgchem.com/,https://en.m.wikipedia.org/wiki/File:LG_Chem_logo_(english).svg,https://en.wikipedia.org/wiki/LG_Chem
LG CNS,https://www.lgcns.com/en/,https://en.wikipedia.org/wiki/LG_CNS,https://en.wikipedia.org/wiki/LG_CNS#Globalization
LG Corporation,http://www.lgcorp.com/,https://www.lg.com/it,https://en.wikipedia.org/wiki/LG
LG Electronics,https://www.lg.com/fr,https://www.lg.com/fr/tout-sur-lg,https://www.lg.com/fr/electromenager
LG Innotek,https://www.lginnotek.com/,http://www.lginnotek.com/,https://en.m.wikipedia.org/wiki/File:LG_Innotek_logo_(english).svg
LG Uplus,https://www.lguplus.com/,https://www.criteo.com/success-stories/lg-u/,https://en.wikipedia.org/wiki/LG_Uplus
