company_name,URL1,URL2,URL3
CitySwitch,https://cityswitch.net.au/,https://www.cityswitch.com/,https://www.cityswitch.com/about-us
CJ Group,https://en.wikipedia.org/wiki/CJ_Group,https://en.wikipedia.org/wiki/Lee_Jay-hyun,https://en.wikipedia.org/wiki/CJ_Logistics
CJ OliveNetworks,https://en.cjolivenetworks.co.kr/,https://en.cjolivenetworks.co.kr/company/overview,https://vn.linkedin.com/company/cj-olivenetworks-vina
CK Hutchison,https://www.ckh.com.hk/en/global/home.php,https://www.ckh.com.hk/en/ir/,https://www.ckh.com.hk/en/about/
CKH IOD,https://ckhiod.com/,https://uk.linkedin.com/company/ckh-innovations-opportunities-development,https://threegroupsolutions.com/who-is-three-group
Clair Global,https://www.clairglobal.com/,http://clairglobal.com/,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSC564WN6YJYzRU3fMRA5Ae4542EM0ZrxF5zDJ1Q5Namc2pyVrZ
Claro Brasil,https://www.claro.com.br/,http://www.claro.com.br/,https://www.apollo.io/companies/Claro-Brasil/5f87135ac3abca0175e99566
Claro Colombia,https://www.claro.com.co/personas/,https://tienda.claro.com.co/claro,https://en.wikipedia.org/wiki/Claro_Colombia
Clarus Networks Group,https://www.clarus-networks.com/,https://uk.linkedin.com/company/clarus-networks-ltd,https://find-and-update.company-information.service.gov.uk/company/SC492820
Clavister,https://www.clavister.com/,https://clavister.eisn.fr/,http://www.clavister.com/
