company_name,URL1,URL2,URL3
Dätwyler IT Infra ,https://itinfra.datwyler.com/,https://datwyler.com/datwyler-it-infra-ag,https://www.linkedin.com/company/datwyler
DB Systel ,https://www.dbsystel.de/dbsystel-en,https://www.dbsystel.de/dbsystel-en/carreer,https://www.dbsystel.de/dbsystel-en/contact-3715938
Deloitte Consulting ,https://www2.deloitte.com/fr/fr/services/consulting.html,https://www.deloitte.com/global/en/services/consulting.html,https://www.deloitte.com/global/en/services/consulting/services/strategy-analytics-manda.html
Demag Cranes & Components ,https://www.demagcranes.com/fr,https://www.demagcranes.com/fr/produits,https://www.demagcranes.com/fr/societe
Detecon International ,https://www.detecon.com/en,https://en.wikipedia.org/wiki/Detecon,https://www.linkedin.com/company/detecon
Deutsche Bahn Aktiengesellschaft,https://de.m.wikipedia.org/wiki/Datei:Deutsche_Bahn_AG-Logo.svg,https://en.wikipedia.org/wiki/Deutsche_Bahn,https://de.wikipedia.org/wiki/Deutsche_Bahn
Deutsche Messe AG,https://www.messe.de/,http://www.messe.de/,https://de.m.wikipedia.org/wiki/Datei:Deutsche_Messe_AG_logo.svg
Deutsches Zentrum für Luft und Raumfahrt e.V. DLR,https://www.dlr.de/,http://www.dlr.de/,https://en.wikipedia.org/wiki/German_Aerospace_Center
Dr. Ing.h.c.F. Porsche AG,http://www.porsche.com/international,https://www.porschefremont.com/porsche-logo-meaning/,https://en.wikipedia.org/wiki/Porsche
ENQT ,https://enqt.de/en/home/,https://www.wavetel.fr/produits/test-mesures-terrain/testeur-reseau-2g-3g-4g-5g-lte-enqt,https://www.wavetel.fr/produits/mesure-reseaux-performance/enqt-signalinsight-sondes-statiques-surveillance-radio-mobile
