company_name,URL1,URL2,URL3
PySENSE,https://docs.pycom.io/datasheets/expansionboards/pysense/,https://www.pysense.com/,https://www.pysense.com/career/
Qatar Armed Forces,https://en.wikipedia.org/wiki/Qatar_Armed_Forces,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Qatar_Armed_Forces,https://en.wikipedia.org/wiki/Military_ranks_of_Qatar
Qatar MoD (Ministry of Defense),https://portal.www.gov.qa/wps/portal/directory/agency/ministryofdefence,https://www.linkedin.com/company/ministryofdefencestateofqatar,https://www.dnb.com/business-directory/company-profiles.ministry_of_defence.c5df8f4400e0735a9f9c31ec8e9fc316.html
Qatar MOI (Ministry of Interior),https://www.moi.gov.qa/site/english/,https://www.doha.directory/ministry-of-interior-qatar/i/451,https://en.wikipedia.org/wiki/Ministry_of_Interior_(Qatar)
Qatar Police,https://en.wikipedia.org/wiki/Law_enforcement_in_Qatar,https://en.wikipedia.org/wiki/Law_enforcement_in_Qatar#History,https://en.wikipedia.org/wiki/Law_enforcement_in_Qatar#Rescue_Police_Department_(Al-Fazaa)
QCoal Group,https://www.qcoal.com.au/,http://www.qcoal.com.au/,https://en.wikipedia.org/wiki/QCoal
QCT (Quanta Cloud Technology),https://www.qct.io/,http://www.qct.io/,https://www.gcpr.net/resources/case-studies/quanta-cloud-technology/
QGC (Shell),https://www.shell.com.au/about-us/projects-and-locations/qgc.html,https://www.crunchbase.com/organization/qgc,https://en.wikipedia.org/wiki/QGC
Qhotels,https://www.qhotels.co.uk/,http://www.qhotels.co.uk/,https://www.facebook.com/TheQHotelsCollection/
Qinetiq,https://www.qinetiq.com/,https://en.wikipedia.org/wiki/Qinetiq,https://en.wikipedia.org/wiki/Qinetiq#History
