company_name,URL1,URL2,URL3
Sherpa 6,https://sherpa6.com/,https://www.linkedin.com/company/sherpa-6-inc,https://www.instagram.com/sherpa6team/?hl=en
SHI (Samsung Heavy Industries),http://www.samsungshi.com/eng,https://es.m.wikipedia.org/wiki/Archivo:Samsung_Heavy_Industries_logo_(english).svg,https://en.wikipedia.org/wiki/Samsung_Heavy_Industries
Shijiazhuang Metro,https://en.wikipedia.org/wiki/Shijiazhuang_Metro,https://en.wikipedia.org/wiki/Shijiazhuang_Metro#Network,https://en.wikipedia.org/wiki/Shijiazhuang_Metro#Background
Shimizu Corporation,https://www.shimz.co.jp/en/,https://en.wikipedia.org/wiki/Shimizu_Corporation,https://en.wikipedia.org/wiki/Shimizu_Corporation#About_Shimizu
Shinshiro Municipal Hospital,https://www.wikidata.org/wiki/Q11501569,https://www.city.shinshiro.lg.jp/hospital/index.html,https://pubmed.ncbi.nlm.nih.gov/15645777/
SHR (Shuohuang Railway),https://www.railjournal.com/tag/shuo-huang-railway-shr/,https://www.railjournal.com/in_depth/meeting-chinas-burning-desire-for-coal/,https://ascelibrary.org/doi/10.1061/9780784481257.013
Shyam Group,https://www.shyamgroup.org/,https://www.shyam.co.in/,https://www.shyamgroups.co.in/
SIAE Microelettronica,https://www.siaemic.com/,http://www.siaemic.com/,https://en.wikipedia.org/wiki/Siae_Microelettronica
SIBUR,https://www.sibur.com/en/,https://www.crunchbase.com/organization/sibur,https://en.wikipedia.org/wiki/Sibur
SICK,https://www.sick.com/us/en/,https://de.wikipedia.org/wiki/Sick_(Unternehmen),https://en.wikipedia.org/wiki/Sick_AG
