company_name,URL1,URL2,URL3
Caterpillar,https://www.caterpillar.com/,https://www.cat.com/fr_FR.html,http://www.caterpillar.com/
Cavli Wireless,https://www.cavliwireless.com/,https://www.linkedin.com/company/cavliwireless,https://www.crunchbase.com/organization/cavalier-wireless-inc-dba-cavli-wireless
CBA (Chinese Basketball Association),https://lt.wikipedia.org/wiki/Vaizdas:Chinese_Basketball_Association.png,https://en.wikipedia.org/wiki/Chinese_Basketball_Association,https://en.wikipedia.org/wiki/Chinese_Basketball_Association#Background
CBA (Commonwealth Bank of Australia),https://www.commbank.com.au/,http://www.commbank.com.au/,https://en.wikipedia.org/wiki/Commonwealth_Bank
CBNG (Cambridge Broadband Networks Group),https://www.cbng.co.uk/About/CBNG,https://www.cbng.co.uk/,http://www.cbng.co.uk/
CCI (Communication Components Inc.),https://www.cciproducts.com/,https://www.linkedin.com/company/cci_2,https://www.everythingrf.com/companies/292/communication-components-inc
CCMA (Catalan Broadcasting Corporation),https://www.ccma.cat/corporatiu/en/el-grup/,https://en.wikipedia.org/wiki/Corporaci%C3%B3_Catalana_de_Mitjans_Audiovisuals,https://en.wikipedia.org/wiki/Corporaci%C3%B3_Catalana_de_Mitjans_Audiovisuals#Companies_of_the_corporation
CCN (Cirrus Core Networks),https://cirruscorenetworks.com/,https://cirruscorenetworks.com/about-us-2,https://www.linkedin.com/company/cirrus-core-networks
CCSA (China Communications Standards Association),https://www.ccsa.org.cn/english/,https://en.wikipedia.org/wiki/China_Communications_Standards_Association,https://fr.wikipedia.org/wiki/China_Communications_Standards_Association
CCww (Communications Consultants Worldwide),https://ccww.co.uk/,http://www.ccasia.co.uk/,https://uk.linkedin.com/company/communications-consultants-worldwide-ltd
