company_name,URL1,URL2,URL3
Ruhr-Universität Bochum,https://en.wikipedia.org/wiki/Ruhr_University_Bochum,http://www.ruhr-uni-bochum.de/,https://de.wikipedia.org/wiki/Ruhr-Universit%C3%A4t_Bochum
Sartorius Corporate Administration ,https://www.sartorius.com/en/general-contact,https://www.sartorius.com/en/general-contact/local-contact,https://www.sartorius.com/en/services/instrument-service
Schäberle Vermögensverwaltung  u. Co. KG,"https://www.northdata.de/Sch%C3%A4berle+Verm%C3%B6gensverwaltung+GmbH+%26+Co.+KG,+Stuttgart/HRA+13044",https://lsu-schaeberle.com/de/home/,https://firmeneintrag.creditreform.de/70499/7330597292/SCHAEBERLE_VERMOEGENSVERWALTUNG_GMBH_U_CO_KG
Schaeffler Technologies AG & Co.KG,https://www.schaeffler.fr/fr/meta/dans_le_monde_entier/sites_international/details_sites_international/?companyids=3306952,https://www.schaeffler.com/en/meta/worldwide/locations-worldwide/locations_worldwide_detail/?companyids=3306952,https://www.schaeffler.com/fork/
SEEHAFEN KIEL  & Co. KG,https://www.portofkiel.com/home.html,https://www.portofkiel.com/Stellenanzeigen.html,https://www.portofkiel.com/karriere/das-unternehmen.html
Seehafen Wismar ,https://www.hafen-wismar.de/,https://www.lhmv.de/de/mitglieder/seehafen-wismar.html,https://www.wismar.de/Rathaus-Politik/Stadtverwaltung/Gesellschaften-mit-kommunaler-Beteiligung/index.php?ModID=9&object=tx%7C2634.1&FID=1800.17.1&NavID=2634.398&La=1
SEGULA TECHNOLOGIES ,https://www.segulatechnologies.com/en/,https://fr.wikipedia.org/wiki/Segula_Technologies,https://www.linkedin.com/company/segula-technologies
SETUP Protokolltester ,https://www.protokolltester.de/,https://www.linkedin.com/company/setup-protokolltester-gmbh/,https://www.wlw.de/de/firma/setup-protokolltester-gmbh-582430
SEVEN PRINCIPLES AG,https://7p-group.com/en/,https://www.linkedin.com/company/seven-principles-ag,https://www.7p-solutions-consulting.com/en/
SEW-EURODRIVE  & Co.KG,https://www.seweurodrive.com/home.html,https://www.sew-eurodrive.de/home.html,https://www.sew-eurodrive.com/fr_fr/
