company_name,URL1,URL2,URL3
BMWK (Federal Ministry for Economic Affairs and Climate Action),https://www.bmwk.de/Navigation/EN/Home/home.html,https://de.wikipedia.org/wiki/Bundesministerium_f%C3%BCr_Wirtschaft_und_Energie,https://en.wikipedia.org/wiki/Federal_Ministry_for_Economic_Affairs_and_Climate_Action
"BNetzA (Federal Network Agency, Germany)",https://www.bundesnetzagentur.de/EN/Home/home_node.html,https://www.bundesnetzagentur.de/EN/General/Bundesnetzagentur/AboutUs/start.html,https://www.bundesnetzagentur.de/EN/General/Press/PressReleases/start.html
"BNPB (National Agency for Disaster Management, Indonesia)",https://www.cleanpng.com/png-indonesian-national-board-for-disaster-management-4021981/,https://en.wikipedia.org/wiki/National_Agency_for_Disaster_Countermeasure,https://www.preventionweb.net/organization/national-agency-disaster-management-badan-nasional-penanggulangan-bencana
BNU (Beijing Normal University),https://english.bnu.edu.cn/,https://en.wikipedia.org/wiki/Beijing_Normal_University,https://en.wikipedia.org/wiki/Beijing_Normal_University#History
Bobcat Miner,https://shop.bobber.com/products/bobcat-miner-300,https://www.amazon.fr/Bobcat-300-Hotspot-HNT-Miner/dp/B09GL48F1Z,https://www.amazon.com/Bobcat-Miner-300-915MHz-2GB/dp/B09Y8ZHZ8D
BOCHK (Bank of China Hong Kong),https://www.bochk.com/,https://en.wikipedia.org/wiki/Bank_of_China_(Hong_Kong),http://www.bochk.com/
Boeing,https://www.boeing.com/,http://www.boeing.com/,https://en.m.wikipedia.org/wiki/File:Boeing_full_logo.svg
Boelink (Shanghai Boelink Communication Technology),https://www.snstelecom.com/public-safety-lte,https://www.snstelecom.com/private-lte,https://www.bloomberg.com/press-releases/2020-08-24/public-safety-lte-5g-market-2020-2030-key-players-scope-demand-trend-service-revenue-strategies-and-forecasts
Boingo Wireless,https://www.boingo.com/,http://www.boingo.com/,https://en.wikipedia.org/wiki/Boingo_Wireless
Boise Police Department,https://www.cityofboise.org/departments/police/,https://www.cityofboise.org/departments/police/join-bpd/,https://www.cityofboise.org/departments/police/contact-bpd/
