company_name,URL1,URL2,URL3
USI (Universal Scientific Industrial),https://www.usiglobal.com/en,https://findlogovector.com/universal-scientific-industrial-usi-logo-vector-svg/,https://www.linkedin.com/company/universal-scientific-industrial-co.
USM (Federico Santa María Technical University),https://usm.cl/,https://en.wikipedia.org/wiki/Federico_Santa_Mar%C3%ADa_Technical_University,https://usm.cl/en/home/
USP (University of São Paulo),https://www5.usp.br/english/institutional/,https://en.wikipedia.org/wiki/University_of_S%C3%A3o_Paulo,https://www.fearp.usp.br/en/index.php/where-we-are/university-of-sao-paulo
USSOCOM (U.S. Special Operations Command),http://www.socom.mil/,https://en.wikipedia.org/wiki/United_States_Special_Operations_Command,https://www.socom.mil/
"UT (University of Tennessee, Knoxville)",https://www.utk.edu/,https://www.utk.edu/admissions,https://gradschool.utk.edu/future-students/degrees-and-programs/
UTAC,https://www.utac.com/,https://www.utac-otc.com/,https://en.wikipedia.org/wiki/UTAC
UTalca (University of Talca),https://www.utalca.cl/,https://en.wikipedia.org/wiki/University_of_Talca,https://www.utalca.cl/en/
UTC (Utilities Technology Council),https://utc.org/,https://www.linkedin.com/company/utilities-technology-council,https://utctelecom.org/
UTCAL (Utilities Telecom & Technology Council América Latina),https://utcal.com.br/,http://www.utcamericalatina.org/summit2023/en/,https://eutc.org/utcal-conference-and-engagement-in-latin-america/
"UTEM (Metropolitan University of Technology, Chile)",https://es.wikipedia.org/wiki/Universidad_Tecnol%C3%B3gica_Metropolitana_(Chile),https://en.wikipedia.org/wiki/Metropolitan_University_of_Technology,https://www.utem.cl/universidad/english/
