company_name,URL1,URL2,URL3
Simoco Wireless Solutions,https://simocowirelesssolutions.com/,https://wearegreenspark.com/project/simoco-wireless-solutions/,https://uk.linkedin.com/company/simoco-wireless-solutions
Simon Møkster Shipping,https://www.mokster.no/,https://www.facebook.com/mokstershipping/,https://www.linkedin.com/company/simon-m-kster-shipping-as
Sinclair Technologies,https://www.sinctech.com/,http://www.sinctech.com/,http://t1.gstatic.com/images?q=tbn:ANd9GcRoqcdvm1xNdkqsGs3Y5yNJA5jce4bmktuL26E_27vhiImydA9m
Singapore Polytechnic,https://www.sp.edu.sg/,https://en.wikipedia.org/wiki/Singapore_Polytechnic,https://www.spi.edu.sg/
Singtel,https://www.singtel.com/personal,https://en.wikipedia.org/wiki/Singtel,https://fr.wikipedia.org/wiki/Singapore_Telecommunications
SinkabergHansen,https://sinkaberghansen.no/,https://www.instagram.com/sinkaberghansen/?hl=en,http://fish.baader.com/news/sinkaberghansen-the-world-needs-food-we-want-to-expand
Sinnwell,https://www.sinnwell.ag/en,https://www.sinnwell.ag/en/company/products-and-services,https://andysinnwellart.com/
Sinopec (China Petroleum & Chemical Corporation),http://www.sinopecgroup.com/group/en/,http://www.sinopecgroup.com/group/en/gywm/ContactUs.shtml,http://www.sinopecgroup.com/group/en/gywm/about.shtml
Sinotrans,https://www.sinotrans.com/col/col3903/index.html,https://en.wikipedia.org/wiki/Sinotrans_Limited,https://fr.wikipedia.org/wiki/Sinotrans
SIP (Sidewalk Infrastructure Partners),http://sidewalkinfra.com/,http://sidewalkinfra.com/team,http://sidewalkinfra.com/about
