company_name,URL1,URL2,URL3
SERGAS (Galician Health Service),https://eic.ec.europa.eu/galician-health-service-sergas-spain_en,https://en.wikipedia.org/wiki/Galician_Healthcare_Service,https://www.sergas.es/Saude-publica/-I2SARE-Galicia
ServiceNow,https://www.servicenow.com/,http://www.servicenow.com/,https://en.wikipedia.org/wiki/File:ServiceNow_logo.svg
SES,https://www.ses.com/,http://www.ses.com/,https://en.wikipedia.org/wiki/SES_S.A.
SETAR (Aruba),https://www.setar.aw/,https://www.facebook.com/setarnv/,https://en.wikipedia.org/wiki/SETAR_NV
SETUP Protokolltester,https://www.protokolltester.de/,https://www.linkedin.com/company/setup-protokolltester-gmbh/,https://www.wlw.de/de/firma/setup-protokolltester-gmbh-582430
Severstal,https://severstal.com/eng/,https://en.wikipedia.org/wiki/Severstal,https://en.wikipedia.org/wiki/Severstal#History
SEW-EURODRIVE,https://www.seweurodrive.com/home.html,https://www.sew-eurodrive.ca/accueil.html,https://www.usocome.com/accueil.html
SFR (Altice France),https://alticefrance.com/,https://fr.wikipedia.org/wiki/Altice_France,https://fr.wikipedia.org/wiki/Altice_France#Historique
SFU (Simon Fraser University),https://www.sfu.ca/,https://en.wikipedia.org/wiki/Simon_Fraser_University,https://en.wikipedia.org/wiki/Simon_Fraser_University#History
SGCC (State Grid Corporation of China),https://en.wikipedia.org/wiki/State_Grid_Corporation_of_China,https://fr.wikipedia.org/wiki/State_Grid_Corporation_of_China,https://en.wikipedia.org/wiki/State_Grid_Corporation_of_China#History
